"Gene","Non-unique gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_3146","","hypothetical protein","58","58","12","82","82.8571428571","58.5714285714","6.83333333333","6.1501258404e-09","3.66301495054e-05","5.55002265234e-07"
"group_5798","","hypothetical protein","16","0","54","140","22.8571428571","100.0","inf","6.51760247077e-09","3.88188403159e-05","5.79385676356e-07"
"group_5007","","hypothetical protein","11","79","59","61","15.7142857143","43.5714285714","0.143960523493","1.0152855636e-08","6.04704081682e-05","8.89270708357e-07"
"feoB_2","","Fe(2+) transporter FeoB","24","106","46","34","34.2857142857","24.2857142857","0.167350287121","1.14007469209e-08","6.79028486607e-05","9.84099255952e-07"
"group_3592","","hypothetical protein","22","4","48","136","31.4285714286","97.1428571429","15.5833333333","1.18867894211e-08","7.07977177921e-05","1.01139596846e-06"
"hcp_3","","Hydroxylamine reductase","13","84","57","56","18.5714285714","40.0","0.152046783626","1.25051163251e-08","7.4480472832e-05","1.04902074411e-06"
"hmp","","Flavohemoprotein","32","118","38","22","45.7142857143","15.7142857143","0.157002676182","1.39536019608e-08","8.31076532786e-05","1.1542729622e-06"
"group_1072","","hypothetical protein","23","5","47","135","32.8571428571","96.4285714286","13.2127659574","1.53264261848e-08","9.12841943564e-05","1.25046841584e-06"
"group_2668","","hypothetical protein","7","67","63","73","10.0","52.1428571429","0.121061359867","1.76135805802e-08","0.000104906485936","1.41765521535e-06"
"group_4834","","hypothetical protein","15","0","55","140","21.4285714286","100.0","inf","2.31078633054e-08","0.000137630433847","1.81092676115e-06"
"group_7535","","hypothetical protein","15","0","55","140","21.4285714286","100.0","inf","2.31078633054e-08","0.000137630433847","1.81092676115e-06"
"group_6783-group_6780-group_4682","","Merged genes","17","1","53","139","24.2857142857","99.2857142857","44.5849056604","2.41859068023e-08","0.000144051260915","1.82343368246e-06"
"group_12454-group_12399","","Merged genes","2","48","68","92","2.85714285714","65.7142857143","0.0563725490196","3.7374759953e-08","0.00022260407028","2.74819839852e-06"
"group_4677","","hypothetical protein","21","4","49","136","30.0","97.1428571429","14.5714285714","3.8133795774e-08","0.00022712488763","2.7698157028e-06"
"group_4785","cpg2","Carboxypeptidase G2","51","46","19","94","72.8571428571","67.1428571429","5.48512585812","4.14736631111e-08","0.00024701713749","2.97611009024e-06"
"group_1419","prtP","hypothetical protein","22","100","48","40","31.4285714286","28.5714285714","0.183333333333","5.2299548294e-08","0.000311496109639","3.70828701952e-06"
"group_5401","","hypothetical protein","23","6","47","134","32.8571428571","95.7142857143","10.9290780142","5.58270553098e-08","0.000332505941425","3.911834605e-06"
"uviA","","Bacteriocin UviA","36","21","34","119","51.4285714286","85.0","6.0","5.78817748766e-08","0.000344743851165","4.00864943215e-06"
"group_2557-group_3960","","Merged genes","57","60","13","80","81.4285714286","57.1428571429","5.84615384615","7.51637714123e-08","0.000447675422532","5.08722071059e-06"
"group_8562","","hypothetical protein","14","0","56","140","20.0","100.0","inf","8.0877521569e-08","0.000481706518465","5.18123806366e-06"
"group_9917","","hypothetical protein","14","0","56","140","20.0","100.0","inf","8.0877521569e-08","0.000481706518465","5.18123806366e-06"
"group_4807","","hypothetical protein","14","0","56","140","20.0","100.0","inf","8.0877521569e-08","0.000481706518465","5.18123806366e-06"
"group_6779","","hypothetical protein","16","1","54","139","22.8571428571","99.2857142857","41.1851851852","8.17723938858e-08","0.000487036377984","5.18123806366e-06"
"group_366","","hypothetical protein","16","1","54","139","22.8571428571","99.2857142857","41.1851851852","8.17723938858e-08","0.000487036377984","5.18123806366e-06"
"group_12527","","hypothetical protein","16","1","54","139","22.8571428571","99.2857142857","41.1851851852","8.17723938858e-08","0.000487036377984","5.18123806366e-06"
"cpg2","","Carboxypeptidase G2","19","93","51","47","27.1428571429","33.5714285714","0.188277461522","8.42672293766e-08","0.000501895618167","5.28311177018e-06"
"norV_2-rubR2_2-group_5121","","Merged genes","35","120","35","20","50.0","14.2857142857","0.166666666667","9.37637598234e-08","0.000558456953508","5.64097932837e-06"
"group_2138","","hypothetical protein","35","20","35","120","50.0","85.7142857143","6.0","9.37637598234e-08","0.000558456953508","5.64097932837e-06"
"group_4511","","hypothetical protein","70","104","0","36","100.0","25.7142857143","inf","9.94382642484e-08","0.000592254301863","5.80641472415e-06"
"group_11951","","hypothetical protein","0","36","70","104","0.0","74.2857142857","0.0","9.94382642484e-08","0.000592254301863","5.80641472415e-06"
"lhgD_1","","L-2-hydroxyglutarate dehydrogenase","70","104","0","36","100.0","25.7142857143","inf","9.94382642484e-08","0.000592254301863","5.80641472415e-06"
"group_6524","","hypothetical protein","1","42","69","98","1.42857142857","70.0","0.0338164251208","1.02185849568e-07","0.000608618920025","5.90892155364e-06"
"group_6983","","hypothetical protein","33","18","37","122","47.1428571429","87.1428571429","6.04504504505","1.2721018007e-07","0.000757663832499","7.28522915865e-06"
"aaeA","","p-hydroxybenzoic acid efflux pump subunit AaeA","28","12","42","128","40.0","91.4285714286","7.11111111111","1.41259458332e-07","0.000841341333823","8.01277460784e-06"
"group_741","","hypothetical protein","68","95","2","45","97.1428571429","32.1428571429","16.1052631579","1.63752751039e-07","0.000975311385191","9.11505967468e-06"
"pnuC","","Nicotinamide riboside transporter PnuC","68","95","2","45","97.1428571429","32.1428571429","16.1052631579","1.63752751039e-07","0.000975311385191","9.11505967468e-06"
"group_2900","","hypothetical protein","56","59","14","81","80.0","57.8571428571","5.49152542373","1.73095101274e-07","0.00103095442319","9.54587428877e-06"
"group_940","dadA","D-amino acid dehydrogenase","27","11","43","129","38.5714285714","92.1428571429","7.36363636364","1.77459887219e-07","0.00105695108828","9.69679897501e-06"
