"Gene","Annotation","Non-unique Gene name"
"cwlD","hypothetical protein",""
"group_11046","hypothetical protein",""
"group_2648","Penicillin acylase",""
"group_5031","Carbon disulfide hydrolase","csh"
"group_7898","hypothetical protein",""
"yjjP_3","Inner membrane protein YjjP",""
