"Gene","Non-unique gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_136","","hypothetical protein","30","5","46","129","39.4736842105","96.2686567164","16.8260869565","5.01753650852e-11","2.98844474447e-07","2.84613785188e-09"
"group_133","","hypothetical protein","45","128","31","6","59.2105263158","4.4776119403","0.0680443548387","7.06375446661e-11","4.20717216031e-07","3.76855162388e-09"
"group_3801","rlmI","Ribosomal RNA large subunit methyltransferase I","31","6","45","128","40.7894736842","95.5223880597","14.6962962963","7.06375446661e-11","4.20717216031e-07","3.76855162388e-09"
"rlmI","","Ribosomal RNA large subunit methyltransferase I","45","128","31","6","59.2105263158","4.4776119403","0.0680443548387","7.06375446661e-11","4.20717216031e-07","3.76855162388e-09"
"group_4542-group_31","","Merged genes","21","0","55","134","27.6315789474","100.0","inf","7.14987128103e-11","4.25846333498e-07","3.76855162388e-09"
"group_2054","","hypothetical protein","21","0","55","134","27.6315789474","100.0","inf","7.14987128103e-11","4.25846333498e-07","3.76855162388e-09"
"group_1788","","hypothetical protein","21","0","55","134","27.6315789474","100.0","inf","7.14987128103e-11","4.25846333498e-07","3.76855162388e-09"
"group_3481","","hypothetical protein","55","134","21","0","72.3684210526","0.0","0.0","7.14987128103e-11","4.25846333498e-07","3.76855162388e-09"
"group_5270-group_5271-group_3974-group_3973","","Merged genes","48","130","28","4","63.1578947368","2.98507462687","0.0527472527473","1.04369503298e-10","6.21624761643e-07","5.22896892501e-09"
"graS_1","","Sensor histidine kinase GraS","53","133","23","1","69.7368421053","0.746268656716","0.0173259235044","1.04474026541e-10","6.22247302076e-07","5.22896892501e-09"
"group_1399","","hypothetical protein","53","133","23","1","69.7368421053","0.746268656716","0.0173259235044","1.04474026541e-10","6.22247302076e-07","5.22896892501e-09"
"rcsC_3","","Sensor histidine kinase RcsC","43","126","33","8","56.5789473684","5.97014925373","0.0827320827321","1.09673928678e-10","6.53217919204e-07","5.44348266003e-09"
"kdpC","","Potassium-transporting ATPase KdpC subunit","36","119","40","15","47.3684210526","11.1940298507","0.113445378151","1.14790668201e-10","6.83693219803e-07","5.65035718845e-09"
"group_2679","","hypothetical protein","42","125","34","9","55.2631578947","6.71641791045","0.0889411764706","1.24325345289e-10","7.40481756542e-07","6.06952259461e-09"
