"Gene","Non-unique gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p"
"group_5327","","hypothetical protein","31","10","45","124","40.7894736842","92.5373134328","8.54222222222","1.1298596688e-08","6.72944418735e-05","3.84539667849e-07"
"group_10948-yodC-group_6125","","Merged genes","19","1","57","133","25.0","99.2537313433","44.3333333333","1.1648331962e-08","6.93774651657e-05","3.87583604278e-07"
"group_486","","IS1182 family transposase ISCpe5","19","1","57","133","25.0","99.2537313433","44.3333333333","1.1648331962e-08","6.93774651657e-05","3.87583604278e-07"
"mtnN_1","","5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase","36","114","40","20","47.3684210526","14.9253731343","0.157894736842","1.21128412425e-08","7.21440824402e-05","4.00800458001e-07"
"group_1105","","hypothetical protein","46","125","30","9","60.5263157895","6.71641791045","0.1104","1.23234321084e-08","7.33983616374e-05","4.05515810152e-07"
"fbpC-idiA-group_11746","","Merged genes","43","122","33","12","56.5789473684","8.9552238806","0.128166915052","1.29771468207e-08","7.7291886464e-05","4.20064600348e-07"
"group_3126","","hypothetical protein","51","129","25","5","67.1052631579","3.73134328358","0.0790697674419","1.42273571603e-08","8.47381392467e-05","4.58043995928e-07"
"group_646","","hypothetical protein","33","110","43","24","43.4210526316","17.9104477612","0.167441860465","1.4310140456e-08","8.52311965561e-05","4.58232239549e-07"
"group_229","","hypothetical protein","37","115","39","19","48.6842105263","14.1791044776","0.156744704571","1.77591179057e-08","0.000105773306247","5.65632653725e-07"
"group_5585-group_6912","","Merged genes","16","0","60","134","21.0526315789","100.0","inf","2.84610763832e-08","0.000169514170939","8.92179847045e-07"
"group_13388","","hypothetical protein","16","0","60","134","21.0526315789","100.0","inf","2.84610763832e-08","0.000169514170939","8.92179847045e-07"
"group_2138","","hypothetical protein","4","51","72","83","5.26315789474","61.9402985075","0.0904139433551","3.27262866599e-08","0.000194917763346","1.02051184998e-06"
"group_5973","","hypothetical protein","18","1","58","133","23.6842105263","99.2537313433","41.275862069","3.64951619439e-08","0.000217365184538","1.13211033614e-06"
"group_4555","","hypothetical protein","52","129","24","5","68.4210526316","3.73134328358","0.0839793281654","4.14639241748e-08","0.000246959132385","1.27958099682e-06"
"rhaS_2","","HTH-type transcriptional activator RhaS","38","115","38","19","50.0","14.1791044776","0.165217391304","4.37852764309e-08","0.000260785106422","1.34425312589e-06"
"group_5214-group_13585-agaC-manZ_1","","Merged genes","55","131","21","3","72.3684210526","2.23880597015","0.0599781897492","5.42519376757e-08","0.000323124540797","1.62374141104e-06"
"group_336","aes_1","Acetyl esterase","55","131","21","3","72.3684210526","2.23880597015","0.0599781897492","5.42519376757e-08","0.000323124540797","1.62374141104e-06"
"group_5535","","hypothetical protein","5","53","71","81","6.57894736842","60.447761194","0.107626893436","6.1034551073e-08","0.000363521786191","1.81760893095e-06"
"group_84","","hypothetical protein","20","87","56","47","26.3157894737","35.0746268657","0.192939244663","7.6177282021e-08","0.000453711891717","2.25727309312e-06"
"group_2714","","hypothetical protein","64","63","12","71","84.2105263158","52.9850746269","6.01058201058","7.70539793488e-08","0.000458933501001","2.27194802476e-06"
"group_230","","hypothetical protein","33","14","43","120","43.4210526316","89.552238806","6.5780730897","8.50692772241e-08","0.000506672615147","2.48573193962e-06"
"group_1376","gspF","Putative type II secretion system protein F","22","4","54","130","28.9473684211","97.0149253731","13.2407407407","8.52174449521e-08","0.000507555102135","2.48573193962e-06"
"group_847","","hypothetical protein","19","2","57","132","25.0","98.5074626866","22.0","8.74965498016e-08","0.000521129450618","2.48573193962e-06"
"bioD1","","ATP-dependent dethiobiotin synthetase BioD 1","45","122","31","12","59.2105263158","8.9552238806","0.142781597039","8.77386799277e-08","0.000522571577649","2.48573193962e-06"
"group_323","","hypothetical protein","28","100","48","34","36.8421052632","25.3731343284","0.198333333333","9.05871793822e-08","0.0005395372404","2.48573193962e-06"
"group_4733","","ISNCY family transposase ISAcar1","15","0","61","134","19.7368421053","100.0","inf","9.09821294218e-08","0.000541889562837","2.48573193962e-06"
"group_9807-group_3619","","Merged genes","15","0","61","134","19.7368421053","100.0","inf","9.09821294218e-08","0.000541889562837","2.48573193962e-06"
"group_192","","IS200/IS605 family transposase ISBth15","15","0","61","134","19.7368421053","100.0","inf","9.09821294218e-08","0.000541889562837","2.48573193962e-06"
"group_10045-group_7903-group_8162-group_7665-group_11660","","Merged genes","15","0","61","134","19.7368421053","100.0","inf","9.09821294218e-08","0.000541889562837","2.48573193962e-06"
"group_4165","","hypothetical protein","15","0","61","134","19.7368421053","100.0","inf","9.09821294218e-08","0.000541889562837","2.48573193962e-06"
"group_2972","","hypothetical protein","15","0","61","134","19.7368421053","100.0","inf","9.09821294218e-08","0.000541889562837","2.48573193962e-06"
"group_444","","hypothetical protein","2","42","74","92","2.63157894737","68.6567164179","0.0592020592021","1.072581293e-07","0.000638829418108","2.84862048805e-06"
"ulaE-ulaF-group_12109-ulaB_1-ulaC_1-ulaA_1-srlR-ulaG","","Merged genes","39","115","37","19","51.3157894737","14.1791044776","0.174148061105","1.08568980992e-07","0.000646636850788","2.84862048805e-06"
"group_5455","","hypothetical protein","5","52","71","82","6.57894736842","61.1940298507","0.11105092091","1.17570071963e-07","0.000700247348614","3.07126030094e-06"
"cwlO_2","","hypothetical protein","10","65","66","69","13.1578947368","51.4925373134","0.160839160839","1.2078376229e-07","0.000719388088201","3.13231590495e-06"
"group_1467","","hypothetical protein","44","121","32","13","57.8947368421","9.70149253731","0.147727272727","1.20959143408e-07","0.000720432658138","3.13231590495e-06"
"group_2112","","hypothetical protein","38","114","38","20","50.0","14.9253731343","0.175438596491","1.25691552504e-07","0.000748618886714","3.24077440136e-06"
"group_3140","","hypothetical protein","14","74","62","60","18.4210526316","44.776119403","0.183086312119","1.29075990342e-07","0.000768776598474","3.3136922348e-06"
"group_6289-ytrE-ytrF","","Merged genes","16","78","60","56","21.0526315789","41.7910447761","0.191452991453","1.51675551903e-07","0.000903379587135","3.84416845589e-06"
"group_693","","hypothetical protein","40","116","36","18","52.6315789474","13.4328358209","0.172413793103","1.56271427522e-07","0.000930752622324","3.92722625453e-06"
"group_1959","","hypothetical protein","40","116","36","18","52.6315789474","13.4328358209","0.172413793103","1.56271427522e-07","0.000930752622324","3.92722625453e-06"
"group_1152","","hypothetical protein","56","131","20","3","73.6842105263","2.23880597015","0.0641221374046","1.59126259072e-07","0.00094775599903","3.96550627209e-06"
"group_2963","","hypothetical protein","56","131","20","3","73.6842105263","2.23880597015","0.0641221374046","1.59126259072e-07","0.00094775599903","3.96550627209e-06"
"group_11138","","hypothetical protein","42","118","34","16","55.2631578947","11.9402985075","0.167497507478","1.86233896607e-07","0.00110920908819","4.62170453414e-06"
"group_199","","IS200/IS605 family transposase ISBth15","30","12","46","122","39.4736842105","91.0447761194","6.63043478261","2.26157340984e-07","0.0013469931229","5.52918068444e-06"
"group_3533","","hypothetical protein","30","12","46","122","39.4736842105","91.0447761194","6.63043478261","2.26157340984e-07","0.0013469931229","5.52918068444e-06"
"group_3964","","hypothetical protein","30","12","46","122","39.4736842105","91.0447761194","6.63043478261","2.26157340984e-07","0.0013469931229","5.52918068444e-06"
"group_11951","","hypothetical protein","27","9","49","125","35.5263157895","93.2835820896","7.65306122449","2.26514453829e-07","0.001349120087","5.52918068444e-06"
"gspF","","Putative type II secretion system protein F","55","130","21","4","72.3684210526","2.98507462687","0.0805860805861","2.43702324713e-07","0.00145149104599","5.92445324895e-06"
"group_147","","hypothetical protein","25","94","51","40","32.8947368421","29.8507462687","0.208594075928","2.67030365843e-07","0.00159043285896","6.46517422343e-06"
"group_2289","","hypothetical protein","43","119","33","15","56.5789473684","11.1940298507","0.164247517189","2.78465781872e-07","0.00165854219683","6.71474573616e-06"
"group_6631","","hypothetical protein","14","0","62","134","18.4210526316","100.0","inf","2.87620925269e-07","0.0017130702309","6.85228092361e-06"
"group_12570","","hypothetical protein","14","0","62","134","18.4210526316","100.0","inf","2.87620925269e-07","0.0017130702309","6.85228092361e-06"
"group_5635","","hypothetical protein","14","0","62","134","18.4210526316","100.0","inf","2.87620925269e-07","0.0017130702309","6.85228092361e-06"
"group_222","","hypothetical protein","51","127","25","7","67.1052631579","5.22388059701","0.112440944882","3.0028933681e-07","0.00178852329004","7.09731464301e-06"
"adhB","","Alcohol dehydrogenase 2","51","127","25","7","67.1052631579","5.22388059701","0.112440944882","3.0028933681e-07","0.00178852329004","7.09731464301e-06"
"group_4473","","putative ABC transporter ATP-binding protein","30","101","46","33","39.4736842105","24.6268656716","0.213086526044","3.5399187759e-07","0.00210837562293","8.33350048588e-06"
"group_2857","","hypothetical protein","53","128","23","6","69.7368421053","4.4776119403","0.108016304348","4.13525707544e-07","0.00246295911413","9.69668942571e-06"
